id,title,avatar,bio,creator_id
1,Avengers Initiative,https://images.unsplash.com/photo-1608889825103-eb5ed706fc64?w=400&h=400&fit=crop&crop=center,"Earth's Mightiest Heroes unite to protect the world from threats too big for any one hero to handle alone.",1
2,Guardians of the Galaxy,https://images.unsplash.com/photo-1446776653964-20c1d3a81b06?w=400&h=400&fit=crop&crop=center,"A ragtag team of intergalactic misfits sworn to protect the galaxy from cosmic threats.",2
3,X-Men: School for Gifted Youngsters,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=400&h=400&fit=crop&crop=center,"A sanctuary for mutants to learn, grow, and fight for peaceful coexistence between humans and mutants.",3
4,Justice League,https://images.unsplash.com/photo-1609330136763-1d8c05a1d4f4?w=400&h=400&fit=crop&crop=center,"The world's premier superhero team, dedicated to protecting Earth and upholding justice across the universe.",4
5,Fantastic Four,https://images.unsplash.com/photo-1518709268805-4e9042af2176?w=400&h=400&fit=crop&crop=center,"A family of heroes with incredible powers, exploring the unknown and protecting the world from fantastic threats.",5
6,Teen Titans,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=400&h=400&fit=crop&crop=center,"Young heroes coming together to fight crime and learn what it means to be a team.",6
7,The Bat-Family,https://images.unsplash.com/photo-1509903620842-42e0b6b6c84a?w=400&h=400&fit=crop&crop=center,"Gotham's protectors working in the shadows to keep the city safe from its darkest threats.",7
8,S.H.I.E.L.D. Academy,https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?w=400&h=400&fit=crop&crop=center,"Strategic Homeland Intervention, Enforcement and Logistics Division - protecting the world from extraordinary threats.",8
9,Cosmic Defenders,https://images.unsplash.com/photo-1446776653964-20c1d3a81b06?w=400&h=400&fit=crop&crop=center,"Heroes who protect the universe from cosmic-level threats and maintain balance across the multiverse.",9
10,Young Justice,https://images.unsplash.com/photo-1608889825103-eb5ed706fc64?w=400&h=400&fit=crop&crop=center,"The next generation of heroes proving themselves worthy of the legacy they inherit.",10
